blinded_item_id,source_evidence_id,public_evidence_text,parent_context,context_available,length_bucket,sampling_stratum,is_retest,retest_group_id
CAL_0001,BILI_0103_U01,问题是什么，海克斯大乱斗本身他就不公平，举个例子你拿了45678顺子，碰瓷对面王炸可能吗，这不是一次性的，人家是一直出王炸，你只能出顺子，不投等着受窝囊吗,问题是什么，海克斯大乱斗本身他就不公平，举个例子你拿了45678顺子，碰瓷对面王炸可能吗，这不是一次性的，人家是一直出王炸，你只能出顺子，不投等着受窝囊吗？,yes,long,S001,false,
CAL_0002,BILI_0084_U01,去看看炉石传说，通行证人家可以4个英雄选一个，没花钱只能2选1,去看看炉石传说，通行证人家可以4个英雄选一个，没花钱只能2选1。这种逆天的破坏平衡方式都不影响游戏。游戏里面拼的还是技术和运气，赢不赢和你的通行证没关系，只能说提升一下游戏体验,yes,medium,S002,false,RT_CAL_0002
CAL_0003,NGA_0003_U05,出辅助装在那混着，还有人会点你？输了也是不粘锅。,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。你真觉得五丢比没前排好赢？米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。出辅助装在那混着，还有人会点你？输了也是不粘锅。非得当畜打起来少个人，q中伤害就那么点，q不中就ob。说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。还有转型的，真闹麻了。一般对局也就四五件就结束了，还三件套转型。你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？出了法穿还能不能出大穿我也不知道，这问题太小众了。,yes,medium,S003,false,
CAL_0004,NGA_0044_U01,我感觉这把如果持续下去，我最起码能杀七八十个，这局就15分钟我杀了51个。,我感觉这把如果持续下去，我最起码能杀七八十个，这局就15分钟我杀了51个。然后，怕后期对面装备起来了，我的装备没优势了，打不过，我就赶紧推了。如果一直拖到个20多分钟、25分钟。感觉我能杀更多，但这样子估计就不好赢。,yes,medium,S004,false,
CAL_0005,TIEBA_0103_U01,如果真有物转法加法爆其实问题不大,如果真有物转法加法爆其实问题不大，小鱼人q是有ad伤害的，所有属性包括物穿都能吃到，只不过别人看的不舒服再加上玩的唐，而且还有更好的装备可选，比如暴击书补暴击和cd,yes,medium,S005,false,
CAL_0006,TIEBA_0033_U01,人家抗伤和回血也高，评分比你高很正常,人家抗伤和回血也高，评分比你高很正常,yes,medium,S006,false,
CAL_0007,TIEBA_0099_U02,30%易伤buff还不如玻璃炮,这个拉爆了 30%易伤buff还不如玻璃炮,yes,short,S007,false,
CAL_0008,BILI_0003_U01,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,yes,long,S008,false,
CAL_0009,BILI_0013_U15,你设计师不是喜欢搞镜像产物吗,重伤装备现状，我感觉与其怪队友，不如狠狠骂设计师，分明就是设计师不想让大家随意去出。反甲，属性和价格还算不错。但覆盖率就是恶心人，被打能触发肯定是对的，毕竟坦克不容易摸到对面后排。但对面都贴我脸上半天了，凭什么只要他不碰我，就不会被挂重伤？这不恶心人吗？鬼书，看一次想骂一次的装备。按理说法师通常是大范围aoe，是挂重伤的最佳人选。但鬼书2850的价格不算低了，结果要法强没法强，要cd没cd，本身也不提供蓝量。除非我玩的工具人法师，不然玩正常法师，出一次鬼书就要把设计师全家问候一遍。链锯剑，价格属性中规中矩。但战士对装备效果要求挺高，而重伤效果占模严重，重伤装备只有重伤效果。出是能出，但也是捏着鼻子的出。矛盾最尖锐的绿穿和红穿。是，暴击adc几乎都该出绿穿而不是红穿。但凭什么？红穿存在的意义在哪？一个主打为团队牺牲，一个主打输出特化，为什么结果会出现一边倒的情况呢？因为重伤装备垃圾，所以暴击adc要放弃输出特化去为团队牺牲，而红穿的输出特化数值低，收益不够高。在暴击adc通常为团队大核的情况下，这是一件极其反常识的事，是设计师恶心玩家的产物。最后，凭什么重伤装备就这4件？你设计师不是喜欢搞镜像产物吗？怎么有物理版本反甲，却没有魔抗版本反甲？恶心坦克玩家吗？为什么没有带穿甲的重伤装备？逼刺客玩家去选择链锯剑，恶心刺客玩家吗？为什么没有攻速流adc的重伤装备？绿穿红穿都能设计两件，给攻速流英雄设计一件很难吗？总结，队友不出重伤是设计师不想让玩家随意覆盖重伤，重伤就是设计师的跌麻，设计师看见自己跌麻被玩家把玩就急眼，仅此而已。,yes,short,S009,false,
CAL_0010,BILI_0029_U09,总感觉设计师像换人了一样，上版本经济符文保守，这版本直接走向了另一个极端，小蛋糕这种前两个来就是假卡级别的，或者可以考虑进一步削弱金币获取，强调它的治疗效果，敌方只有减速，没有治疗，这样可以作为坦克或者软辅的备选符文，增加这两位置的功能性和经济补充,现在版本我个人认为最大的问题就是：1.局外养成影响局内游戏，这是MOBA游戏大忌。2.羁绊系统的崩坏，其实是调整弱符文的好工具，弱符文的羁绊就应该是0.5+0.5=2的效果，强符文就是1+1=1的效果，比如你是选择拿一个单个效果的垃圾符文，赌强力的羁绊，还是选择保底，选择当个强力的符文，但是羁绊就很一般。这样对于单次没拿到强力符文的玩家，也是种补偿机制。3.经济系符文和羁绊的数值，经济的优势，是一种无法反制的优势，同时先发永远赢后发，其他符文你还有可能用操作，针对出装来反制，但是经济类不行，数值还要调整。4.还是经济类符文，过于强势且适用性广，挤占了其他符文的选择空间，整局游戏大家都在找经济类符文，海克斯大乱斗变成了极地乱斗极速版。5.坦克位的生存环境恶劣，坦克作为游戏内经济最低的位置，经济类符文的泛滥，心之钢的削弱，导致坦克选出来就成了一个混子，大家就都不太愿意玩坦克了，又成为了丢子大乱斗。总感觉设计师像换人了一样，上版本经济符文保守，这版本直接走向了另一个极端，小蛋糕这种前两个来就是假卡级别的，或者可以考虑进一步削弱金币获取，强调它的治疗效果，敌方只有减速，没有治疗，这样可以作为坦克或者软辅的备选符文，增加这两位置的功能性和经济补充。最后个人要求，能不能删了你那开局锻造器，300你都删了，又不删干净，删完了显得设计师会蠢，所以要保留一部分是吧。up说的总体上我是认可的，原本海克斯乱斗是比较平衡的，极少有天胡打不了的对局，大部分对局都是主要看思路和操作，如果对面坦克横行或者刺客横行，那大概率是因为你们阵容构成本来有问题，符文进一步放大了这个问题，下把开局的时候，你会下意识的补。,yes,long,S010,false,
