id,parent_id,unit_text,surface_topic,reason_short,mechanism_label,confidence,evidence_phrase,raw_text
1_u1,1,海克斯大乱斗最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢。,balance,The feedback criticizes item choices and their impact on gameplay balance in a specific game mode.,fairness_threat,medium,最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢,
1_u2,1,说真的，你选就选了，让个金，还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢。,balance,The feedback criticizes the economic cost and effectiveness of an item (心之钢) in gameplay.,competence_frustration,high,还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢,
1_u3,1,编辑：2个提醒12赞，看来红叉区这么干的人不少啊。,other_uncertain,The feedback text is ambiguous and does not clearly align with any specific allowed label.,uncertain,low,看来红叉区这么干的人不少啊,
1_u4,1,我猜你一定是那种为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才。,other_uncertain,The feedback contains ambiguous gaming terminology without clear connection to the allowed labels.,competence_frustration,medium,为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才,
2_u1,2,楼主比较喜欢莉莉娅这个英雄，所以会拿来打rank，大乱斗也打到29场76%胜率，自认为玩的也还行,other_uncertain,Feedback discusses personal gameplay experience without clear connection to allowed topics.,uncertain,low,自认为玩的也还行,
2_u2,2,但是海斗我拿到这个英雄基本上都是蛆虫，虽然看数据莉莉娅都60%胜率去了，没有辣油扛不住还没伤害，就算赢了也是混子,balance,The feedback discusses a hero's perceived weakness in damage and survivability compared to data.,competence_frustration,high,蛆虫，没有辣油扛不住还没伤害，就算赢了也是混子,
2_u3,2,海克斯适配也很少有能c的局，反而拿到人马有几个适配海克斯凑合用就能c起来了,balance,The feedback discusses the relative strength of different in-game items or characters.,competence_frustration,medium,海克斯适配也很少有能c的局,
2_u4,2,想问问莉莉娅海斗到底怎么玩，出什么,other_uncertain,"Feedback asks about gameplay mechanics for a specific character, which doesn't clearly match any allowed label.",competence_frustration,high,想问问莉莉娅海斗到底怎么玩，出什么,
2_u5,2,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,other_uncertain,Feedback describes personal item build choices without clear connection to allowed topics.,uncertain,low,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,
3_u1,3,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。,other_uncertain,The feedback contains slang and unclear references that don't clearly match any allowed topic.,competence_frustration,medium,一眼玩丢子玩的,
3_u2,3,阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。,balance,Feedback discusses team composition and damage type balance issues.,competence_frustration,high,你拿个唯一能出物理伤害的然后进去出ap还没问题,
3_u3,3,你真觉得五丢比没前排好赢？,other_uncertain,The feedback discusses team composition but does not clearly align with specific allowed labels.,competence_frustration,medium,你真觉得五丢比没前排好赢？,
3_u4,3,米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。,balance,The feedback criticizes the AP scaling of Milio's ability compared to another champion.,competence_frustration,medium,你还不如去玩ap卢锡安,
3_u5,3,出辅助装在那混着，还有人会点你？输了也是不粘锅。,other_uncertain,"The feedback discusses player behavior and blame in a match, which does not clearly align with any specific allowed label.",fairness_threat,medium,出辅助装在那混着,
3_u6,3,非得当畜打起来少个人，q中伤害就那么点，q不中就ob。,balance,Feedback discusses character ability damage and effectiveness in combat.,competence_frustration,high,q中伤害就那么点，q不中就ob,
3_u7,3,说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。,other_uncertain,The feedback discusses gameplay strategy but does not clearly align with any specific allowed topic.,competence_frustration,medium,决定不了胜负的,
3_u8,3,还有转型的，真闹麻了。,other_uncertain,The feedback text is ambiguous and does not clearly correspond to any specific allowed label.,uncertain,low,还有转型的，真闹麻了。,
3_u9,3,一般对局也就四五件就结束了，还三件套转型。,other_uncertain,Feedback mentions game length and strategy but doesn't clearly align with any specific allowed label.,uncertain,low,一般对局也就四五件就结束了，还三件套转型。,
3_u10,3,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,other_uncertain,Feedback discusses in-game item build strategy without clear connection to allowed topics.,uncertain,low,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,
3_u11,3,出了法穿还能不能出大穿我也不知道，这问题太小众了。,other_uncertain,The feedback discusses a specific item build question that doesn't clearly fit any defined category.,uncertain,low,这问题太小众了,
4_u1,4,丢子就是学走位，练预判，找破绽，抓失误，需要考虑技能是清兵还是打人。,other_uncertain,The feedback discusses gameplay mechanics without clearly fitting any specific allowed label.,competence_frustration,medium,需要考虑技能是清兵还是打人,
4_u2,4,玩前排只管向前冲粘着后排抗伤害搅混水，稍微有点含金量的就是雪球命中，相比之下谁更无脑？,balance,The feedback discusses the relative difficulty and effectiveness of different playstyles in combat.,competence_frustration,medium,稍微有点含金量的就是雪球命中，相比之下谁更无脑？,
4_u3,4,我不否认前排的作用，但你说丢子无聊我只能说你不会玩丢子，你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,other_uncertain,Feedback discusses gameplay style disagreement without clear matchmaking or balance focus.,competence_frustration,high,你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,
