issue_type,source_id,referenced_id,detail
evidence_unit_semantic_no_match,1_u1,1,unit_text 唯一命中 clean id=121（parent_id 错位）; sim=0.097 ngram=0.025
evidence_unit_semantic_no_match,1_u2,1,unit_text 唯一命中 clean id=121（parent_id 错位）; sim=0.1302 ngram=0.0217
evidence_unit_semantic_no_match,1_u3,1,unit_text 唯一命中 clean id=121（parent_id 错位）; sim=0.0411 ngram=0.0
evidence_unit_semantic_no_match,1_u4,1,unit_text 唯一命中 clean id=121（parent_id 错位）; sim=0.1184 ngram=0.1034
evidence_unit_semantic_no_match,2_u1,2,unit_text 唯一命中 clean id=122（parent_id 错位）; sim=0.052 ngram=0.0
evidence_unit_semantic_no_match,2_u2,2,unit_text 唯一命中 clean id=122（parent_id 错位）; sim=0.0794 ngram=0.0
evidence_unit_semantic_no_match,2_u3,2,unit_text 唯一命中 clean id=122（parent_id 错位）; sim=0.062 ngram=0.0294
evidence_unit_semantic_no_match,2_u4,2,unit_text 唯一命中 clean id=122（parent_id 错位）; sim=0.0252 ngram=0.0
evidence_unit_semantic_no_match,2_u5,2,unit_text 唯一命中 clean id=122（parent_id 错位）; sim=0.024 ngram=0.0
evidence_unit_semantic_no_match,3_u1,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0886 ngram=0.0
evidence_unit_semantic_no_match,3_u2,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0894 ngram=0.0
evidence_unit_semantic_no_match,3_u3,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0135 ngram=0.0
evidence_unit_semantic_no_match,3_u4,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0952 ngram=0.0
evidence_unit_semantic_no_match,3_u5,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0629 ngram=0.0
evidence_unit_semantic_no_match,3_u6,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0494 ngram=0.0
evidence_unit_semantic_no_match,3_u7,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0745 ngram=0.0
evidence_unit_semantic_no_match,3_u8,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0548 ngram=0.0
evidence_unit_semantic_no_match,3_u9,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0256 ngram=0.0
evidence_unit_semantic_no_match,3_u10,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0571 ngram=0.0
evidence_unit_semantic_no_match,3_u11,3,unit_text 唯一命中 clean id=123（parent_id 错位）; sim=0.0875 ngram=0.0
evidence_unit_semantic_no_match,4_u1,4,unit_text 唯一命中 clean id=124（parent_id 错位）; sim=0.0632 ngram=0.0
evidence_unit_semantic_no_match,4_u2,4,unit_text 唯一命中 clean id=124（parent_id 错位）; sim=0.0769 ngram=0.0
evidence_unit_semantic_no_match,4_u3,4,unit_text 唯一命中 clean id=124（parent_id 错位）; sim=0.0661 ngram=0.0
evidence_unit_semantic_no_match,5_u1,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0338 ngram=0.0
evidence_unit_semantic_no_match,5_u2,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0526 ngram=0.0
evidence_unit_semantic_no_match,5_u3,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0165 ngram=0.0
evidence_unit_semantic_no_match,5_u4,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0245 ngram=0.0
evidence_unit_semantic_no_match,5_u5,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0293 ngram=0.0
evidence_unit_semantic_no_match,5_u6,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0165 ngram=0.0
evidence_unit_semantic_no_match,5_u7,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0714 ngram=0.0
evidence_unit_semantic_no_match,5_u8,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.046 ngram=0.0213
evidence_unit_semantic_no_match,5_u9,5,unit_text 唯一命中 clean id=125（parent_id 错位）; sim=0.0586 ngram=0.0
evidence_unit_semantic_no_match,6_u1,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0364 ngram=0.0
evidence_unit_semantic_no_match,6_u2,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0731 ngram=0.0
evidence_unit_semantic_no_match,6_u3,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0933 ngram=0.0
evidence_unit_semantic_no_match,6_u4,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0945 ngram=0.0078
evidence_unit_semantic_no_match,6_u5,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.1145 ngram=0.0
evidence_unit_semantic_no_match,6_u6,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0942 ngram=0.0
evidence_unit_semantic_no_match,6_u7,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0808 ngram=0.0
evidence_unit_semantic_no_match,6_u8,6,unit_text 唯一命中 clean id=126（parent_id 错位）; sim=0.0503 ngram=0.0
evidence_unit_semantic_no_match,7_u1,7,unit_text 唯一命中 clean id=127（parent_id 错位）; sim=0.0614 ngram=0.0164
evidence_unit_semantic_no_match,7_u2,7,unit_text 唯一命中 clean id=127（parent_id 错位）; sim=0.0579 ngram=0.0
evidence_unit_semantic_no_match,7_u3,7,unit_text 唯一命中 clean id=127（parent_id 错位）; sim=0.0926 ngram=0.0
evidence_unit_semantic_no_match,7_u4,7,unit_text 唯一命中 clean id=127（parent_id 错位）; sim=0.0737 ngram=0.0
evidence_unit_semantic_no_match,8_u1,8,unit_text 唯一命中 clean id=128（parent_id 错位）; sim=0.0508 ngram=0.0
evidence_unit_semantic_no_match,8_u2,8,unit_text 唯一命中 clean id=128（parent_id 错位）; sim=0.0792 ngram=0.0
evidence_unit_semantic_no_match,8_u3,8,unit_text 唯一命中 clean id=128（parent_id 错位）; sim=0.046 ngram=0.0
