queue_item_id,entity_type,entity_id,source_sample_id,current_status,priority,notes
RQ_00001,legacy_evidence,NGA_0001_U01,NGA_0001,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00002,legacy_evidence,NGA_0001_U02,NGA_0001,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00003,legacy_evidence,NGA_0001_U03,NGA_0001,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00004,legacy_evidence,NGA_0001_U04,NGA_0001,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00005,legacy_evidence,NGA_0002_U01,NGA_0002,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00006,legacy_evidence,NGA_0002_U02,NGA_0002,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00007,legacy_evidence,NGA_0002_U03,NGA_0002,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00008,legacy_evidence,NGA_0002_U04,NGA_0002,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00009,legacy_evidence,NGA_0002_U05,NGA_0002,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00010,legacy_evidence,NGA_0003_U01,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00011,legacy_evidence,NGA_0003_U02,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00012,legacy_evidence,NGA_0003_U03,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00013,legacy_evidence,NGA_0003_U04,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00014,legacy_evidence,NGA_0003_U05,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00015,legacy_evidence,NGA_0003_U06,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00016,legacy_evidence,NGA_0003_U07,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00017,legacy_evidence,NGA_0003_U08,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00018,legacy_evidence,NGA_0003_U09,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
RQ_00019,legacy_evidence,NGA_0003_U10,NGA_0003,legacy_ai_label_unreviewed,normal,legacy 迁移证据待人工复核
