proposal_id,queue_id,sample_id,candidate_unit_index,candidate_unit_text,include_as_evidence,surface_topic_proposed,mechanism_label_proposed,evidence_phrase_proposed,proposal_confidence,needs_human_review,proposal_reason,proposer_type,proposal_status
AP_0001,BQ_0001,BILI_0001,1,他把坦克海克斯加强了别的更厉害了，星届躯体1500生命值只掉10%输出缺可以增加大量存活时间和输出时间，叠角龙羁绊里的缩小引擎无限循环往复这些属于白搭谁都能用，人均都能挂个叠角龙，坦克只有飞身踢，随到了就是爽局，随不到折磨一整把，除非阵容克制,yes,balance,competence_frustration,生命值只掉10%输出缺可以增加大量存,medium,true,命中机制关键信号「输出」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0002,BQ_0002,BILI_0002,1,up主感觉有点抽象啊，后续的叠角龙刷出来用不到不拿就行了，就污染卡池多大点事，整一局下来也不见有多少人能有羁绊的，卡池就是长这样，不污染能有几个好东西,uncertain,balance,uncertain,up主感觉有点抽象啊，后续的叠角龙刷出来,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0003,BQ_0003,BILI_0002,2,再说羁绊也能加强升级狂妄效果，我的理解是只要这英雄适合开局出狂妄的，开局来必拿，但是本人也很反感有些人选个adc开局没亮剑硬出狂妄的（男枪除外）,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0004,BQ_0004,BILI_0002,3,一开始海斗出的时候，还没羁绊，我也没仔细看，一直以为神级狂妄是陷阱，后面才发现加移速,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0005,BQ_0005,BILI_0002,4,我才意识到这是神中神，很多刺客英雄多点移速手感都不一样了,uncertain,balance,uncertain,我才意识到这是神中神，很多刺客英雄多点移,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0006,BQ_0006,BILI_0003,1,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,yes,balance,competence_frustration,是承担一个控制加承伤的作用，依然是a,medium,true,命中机制关键信号「承伤」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0007,BQ_0007,BILI_0004,1,我建议是：远程英雄从海克斯获取的移速和全能吸血都减半，所有叠层类海克斯远程阵亡时掉落更多层数，比如近战-65%远程-80%,yes,rewards,competence_frustration,获取的移速和全能吸血都减半，所有叠层,medium,true,命中机制关键信号「吸血」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0008,BQ_0008,BILI_0005,1,之前有一把，我跟朋友双排，匹配队友是三排，我朋友肉我女枪，前期我顺风打的对面还不了手，三排开始疯狂浪，各种冲塔送，追到人家门牙送，技能打团不交留着各种k残血头，最后对面海克斯也糊了，我们被暴打，这三个崽种想投降了，我跟我朋友就是反对，几次之后他们三个直接全退，最后全体打字我朋友跟对面互刚，对面不打我我清兵线，一直打了一个多小时，中途三排以为输了，重连了好几次，最后对面爽完了让我推了赢了，没别的，就想制裁一下这种浪13队友,uncertain,matchmaking,uncertain,之前有一把，我跟朋友双排，匹配队友是三排,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0009,BQ_0009,BILI_0006,1,单排匹配了一堆牛马队友，选的都是最low的英雄，打着打着就打不过了，4分钟没2塔，满血见到残血就去换，不一会人头差距就翻倍，哪怕前期玩的很顺，推爆对面，也舍不得推塔，我们这边一个adc没有，过去送了几波对面adc经济直接起飞，一下子又推回来，然后队友一个一个去送,yes,matchmaking,competence_frustration,英雄，打着打着就打不过了，4分钟没2塔,medium,true,命中机制关键信号「打不过」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0010,BQ_0010,BILI_0007,1,确实，千万别一个人玩LOL，昨晚一把队友四个adc被人叼起来锤，然后开始发信号标记我装备，说我躲在后面干嘛，问题是，我是星妈啊,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0011,BQ_0011,BILI_0007,2,我要是一个人冲上去全解决了还要他们干嘛,uncertain,,uncertain,我要是一个人冲上去全解决了还要他们干嘛,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0012,BQ_0012,BILI_0007,3,说我不选前排要玩个屁用没有的星妈,uncertain,,uncertain,说我不选前排要玩个屁用没有的星妈,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0013,BQ_0013,BILI_0007,4,奈何我满嘴的国粹打字打不出来，气得我直接下了去玩单机游戏了，后来两个朋友上号了才一起打了三四把，可以随便互相嘴臭，心情好多了,yes,community_conflict,norm_safety_risk,奈何我满嘴的国粹打字打不出来，气,medium,true,命中机制关键信号「国粹」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0014,BQ_0014,BILI_0008,1,狂妄就是大乱斗刺客的底层代码，而移速更是刺客很重要的一个属性我不知道有什么理由不选升级狂妄，而且还给钱出门多一个散件,uncertain,rewards,uncertain,狂妄就是大乱斗刺客的底层代码，而移速更是,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0015,BQ_0015,BILI_0009,1,海都回血吸血手段太多了，玩ad必出绿穿，玩战士刺客也照样出绿穿，因为有时候队友即使出了重伤也不一定有机会挂上,yes,matchmaking,competence_frustration,海都回血吸血手段太多了，,medium,true,命中机制关键信号「回血」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0016,BQ_0016,BILI_0010,1,我认为法师的鬼书性价比是几个重伤里面最低的,yes,rewards,competence_frustration,我认为法师的鬼书性价比是几个重伤里面最,medium,true,命中机制关键信号「性价比」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0017,BQ_0017,BILI_0010,2,最超模的当属凡性,uncertain,balance,competence_frustration,最超模的当属凡性,low,true,命中「超模」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0018,BQ_0018,BILI_0010,3,现在ADC打肉无非就是出轻语+破败，但如果对面同时有肉+强回复，还可以凡性+破败，既能克制回复，又有一定打肉能力，属性也不亏,yes,balance,competence_frustration,凡性+破败，既能克制回复，又有一定打,medium,true,命中机制关键信号「克制」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0019,BQ_0019,BILI_0010,4,法师的装备大部分就是垃圾，以前辅助的炼金科技纯化器还在的时候，如果对面有回复，我压根不出鬼书，直接出这个,yes,balance,competence_frustration,的装备大部分就是垃圾，以前辅助的炼金,medium,true,命中机制关键信号「垃圾」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0020,BQ_0020,BILI_0011,1,单纯游戏理解不够，根本不是混不混的问题，海斗普遍吸血的情况下，800块可以大量克制，根本就该每个人都出，因为挂重伤的人死了意味着你也有高风险打不死对面了，就伤害转换的角度，出个重伤多打15%-25%的伤害，只要你的英雄不存在一刀秒和一个技能秒的情况，没有装备能有这个增伤量，比赛里经常三四个人出重伤的，难道比赛里没有前排和辅助,yes,balance,competence_frustration,的问题，海斗普遍吸血的情况下，800,medium,true,命中机制关键信号「吸血」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0021,BQ_0021,BILI_0011,2,除去对线需求，就是必须要保证覆盖率，说白了就是菜才不爱出,yes,,competence_frustration,，就是必须要保证覆盖率，说白了就是菜才,medium,true,命中机制关键信号「覆盖率」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0022,BQ_0022,BILI_0012,1,一开始我也不信邪，认为ap女枪是邪教，先后试过了暴击攻速流，上去点两枪，人快被aoe干死了，又试了穿甲大招流，大招被打断就有点查无此人了，要么开大原地等着被人切,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0023,BQ_0023,BILI_0012,2,最后，还得是ap女枪，把对面丢残血了，队友就嗷嗷冲上去了,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0024,BQ_0024,BILI_0013,1,重伤装备现状，我感觉与其怪队友，不如狠狠骂设计师，分明就是设计师不想让大家随意去出,yes,matchmaking,norm_safety_risk,怪队友，不如狠狠骂设计师，分明就是,medium,true,命中机制关键信号「骂」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0025,BQ_0025,BILI_0013,2,反甲，属性和价格还算不错,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0026,BQ_0026,BILI_0013,3,但覆盖率就是恶心人，被打能触发肯定是对的，毕竟坦克不容易摸到对面后排,yes,balance,fairness_threat,但覆盖率就是恶心人，被打能触发肯定,medium,true,命中机制关键信号「恶心人」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0027,BQ_0027,BILI_0013,4,但对面都贴我脸上半天了，凭什么只要他不碰我，就不会被挂重伤,yes,balance,fairness_threat,贴我脸上半天了，凭什么只要他不碰我，就,medium,true,命中机制关键信号「凭什么」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0028,BQ_0028,BILI_0013,5,这不恶心人吗,uncertain,,fairness_threat,这不恶心人吗,low,true,命中「恶心人」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0029,BQ_0029,BILI_0013,6,鬼书，看一次想骂一次的装备,uncertain,community_conflict,norm_safety_risk,鬼书，看一次想骂一次的装备,low,true,命中「骂」但文本较短，存疑,rule_based_baseline,rule_based_proposed_unreviewed
AP_0030,BQ_0030,BILI_0013,7,按理说法师通常是大范围aoe，是挂重伤的最佳人选,yes,balance,competence_frustration,范围aoe，是挂重伤的最佳人选,medium,true,命中机制关键信号「重伤」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0031,BQ_0031,BILI_0013,8,但鬼书2850的价格不算低了，结果要法强没法强，要cd没cd，本身也不提供蓝量,uncertain,balance,uncertain,但鬼书2850的价格不算低了，结果要法强,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0032,BQ_0032,BILI_0013,9,除非我玩的工具人法师，不然玩正常法师，出一次鬼书就要把设计师全家问候一遍,yes,communication_transparency,trust_communication_gap,出一次鬼书就要把设计师全家问候一遍,medium,true,命中机制关键信号「设计师」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0033,BQ_0033,BILI_0013,10,链锯剑，价格属性中规中矩,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0034,BQ_0034,BILI_0013,11,但战士对装备效果要求挺高，而重伤效果占模严重，重伤装备只有重伤效果,yes,balance,competence_frustration,效果要求挺高，而重伤效果占模严重，重,medium,true,命中机制关键信号「重伤」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0035,BQ_0035,BILI_0013,12,出是能出，但也是捏着鼻子的出,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0036,BQ_0036,BILI_0013,13,矛盾最尖锐的绿穿和红穿,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0037,BQ_0037,BILI_0013,14,是，暴击adc几乎都该出绿穿而不是红穿,uncertain,balance,uncertain,是，暴击adc几乎都该出绿穿而不是红穿,low,true,有内容但机制指向不明确，需人工判断,rule_based_baseline,rule_based_proposed_unreviewed
AP_0038,BQ_0038,BILI_0013,15,红穿存在的意义在哪,no,,,,low,true,无明确机制指向且依赖上下文，暂不作为独立证据,rule_based_baseline,rule_based_proposed_unreviewed
AP_0039,BQ_0039,BILI_0013,16,一个主打为团队牺牲，一个主打输出特化，为什么结果会出现一边倒的情况呢,yes,,fairness_threat,为什么结果会出现一边倒的情况呢,medium,true,命中机制关键信号「一边倒」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0040,BQ_0040,BILI_0013,17,因为重伤装备垃圾，所以暴击adc要放弃输出特化去为团队牺牲，而红穿的输出特化数值低，收益不够高,yes,balance,competence_frustration,因为重伤装备垃圾，所以暴,medium,true,命中机制关键信号「重伤」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
AP_0041,BQ_0041,BILI_0013,18,在暴击adc通常为团队大核的情况下，这是一件极其反常识的事，是设计师恶心玩家的产物,yes,communication_transparency,trust_communication_gap,其反常识的事，是设计师恶心玩家的产物,medium,true,命中机制关键信号「设计师」，可作候选证据（待人工复核）,rule_based_baseline,rule_based_proposed_unreviewed
