candidate_id,source_kind,evidence_id,sample_id,platform_source,unit_text,surface_topic,mechanism_label,label_source,include_as_evidence,review_status,notes
NGA_0001_U01,legacy_migrated,NGA_0001_U01,NGA_0001,NGA,海克斯大乱斗最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢。,balance,fairness_threat,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0001_U02,legacy_migrated,NGA_0001_U02,NGA_0001,NGA,说真的，你选就选了，让个金，还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢。,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0001_U03,legacy_migrated,NGA_0001_U03,NGA_0001,NGA,编辑：2个提醒12赞，看来红叉区这么干的人不少啊。,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0001_U04,legacy_migrated,NGA_0001_U04,NGA_0001,NGA,我猜你一定是那种为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0002_U01,legacy_migrated,NGA_0002_U01,NGA_0002,NGA,楼主比较喜欢莉莉娅这个英雄，所以会拿来打rank，大乱斗也打到29场76%胜率，自认为玩的也还行,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0002_U02,legacy_migrated,NGA_0002_U02,NGA_0002,NGA,但是海斗我拿到这个英雄基本上都是蛆虫，虽然看数据莉莉娅都60%胜率去了，没有辣油扛不住还没伤害，就算赢了也是混子,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0002_U03,legacy_migrated,NGA_0002_U03,NGA_0002,NGA,海克斯适配也很少有能c的局，反而拿到人马有几个适配海克斯凑合用就能c起来了,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0002_U04,legacy_migrated,NGA_0002_U04,NGA_0002,NGA,想问问莉莉娅海斗到底怎么玩，出什么,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0002_U05,legacy_migrated,NGA_0002_U05,NGA_0002,NGA,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U01,legacy_migrated,NGA_0003_U01,NGA_0003,NGA,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U02,legacy_migrated,NGA_0003_U02,NGA_0003,NGA,阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U03,legacy_migrated,NGA_0003_U03,NGA_0003,NGA,你真觉得五丢比没前排好赢？,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U04,legacy_migrated,NGA_0003_U04,NGA_0003,NGA,米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U05,legacy_migrated,NGA_0003_U05,NGA_0003,NGA,出辅助装在那混着，还有人会点你？输了也是不粘锅。,other_uncertain,fairness_threat,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U06,legacy_migrated,NGA_0003_U06,NGA_0003,NGA,非得当畜打起来少个人，q中伤害就那么点，q不中就ob。,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U07,legacy_migrated,NGA_0003_U07,NGA_0003,NGA,说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U08,legacy_migrated,NGA_0003_U08,NGA_0003,NGA,还有转型的，真闹麻了。,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U09,legacy_migrated,NGA_0003_U09,NGA_0003,NGA,一般对局也就四五件就结束了，还三件套转型。,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U10,legacy_migrated,NGA_0003_U10,NGA_0003,NGA,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0003_U11,legacy_migrated,NGA_0003_U11,NGA_0003,NGA,出了法穿还能不能出大穿我也不知道，这问题太小众了。,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0004_U01,legacy_migrated,NGA_0004_U01,NGA_0004,NGA,丢子就是学走位，练预判，找破绽，抓失误，需要考虑技能是清兵还是打人。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0004_U02,legacy_migrated,NGA_0004_U02,NGA_0004,NGA,玩前排只管向前冲粘着后排抗伤害搅混水，稍微有点含金量的就是雪球命中，相比之下谁更无脑？,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0004_U03,legacy_migrated,NGA_0004_U03,NGA_0004,NGA,我不否认前排的作用，但你说丢子无聊我只能说你不会玩丢子，你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U01,legacy_migrated,NGA_0005_U01,NGA_0005,NGA,我没见过ap米利欧？真给你幽默完了你出ap我不看伤害看什么，要看功能性不会出辅助装？你出ap装一把六神下来多少cd？全部技能服务一个踢皮球，你什么绝活哥q技能这么好中？,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U02,legacy_migrated,NGA_0005_U02,NGA_0005,NGA,ad前期缩塔捡人头有什么问题？你倒是告诉我你怎么转型，卖装备不要钱？转型穿透你出法穿还是物穿？你把把红包雨？,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U03,legacy_migrated,NGA_0005_U03,NGA_0005,NGA,卡莎我算你还有黄昏和纳什魔切，卢登完转三进化，老鼠混伤怎么做？,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U04,legacy_migrated,NGA_0005_U04,NGA_0005,NGA,收收你的神通吧，真法师绝活哥估摸着在中路上分呢，大乱斗丢子还不混呢,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U05,legacy_migrated,NGA_0005_U05,NGA_0005,NGA,坦克能开团，刺客能秒c，全都为战士ad提供环境收割，你丢子能干嘛？摸奖，混输出，站的比谁都后面，看到团不过就开始往家里跑。,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U06,legacy_migrated,NGA_0005_U06,NGA_0005,NGA,搞搞清楚，不是不喜欢丢子所以说丢子混，是丢子混所以不喜欢丢子。,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U07,legacy_migrated,NGA_0005_U07,NGA_0005,NGA,你要是玩球女狐狸打团能控到对面ad一套带走，黄鸡维克托能收割战场，毛笔人火男团战技能爆炸伤害，这种我都不会说是丢子，开团盯着你开叫尊重。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U08,legacy_migrated,NGA_0005_U08,NGA_0005,NGA,打个团只会站后面，闪现不是逃跑就是k头，技能只能打到上来冲你的前排还以为自己老有操作了，这叫丢子。,other_uncertain,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0005_U09,legacy_migrated,NGA_0005_U09,NGA_0005,NGA,这种人就是我牛头一个二连起来直接接ctrl3给你敲丧钟,other_uncertain,uncertain,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0006_U01,legacy_migrated,NGA_0006_U01,NGA_0006,NGA,丢子为什么现在自带贬义色彩，是因为玩这种东西的，就是体感畜的人多。,other_uncertain,belonging_drop,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
NGA_0006_U02,legacy_migrated,NGA_0006_U02,NGA_0006,NGA,你可以喷我隐藏分低ICU大乱斗，但我个人看下来就是会有包括但不限于 老鼠卡莎女枪等不看阵容(全队唯一ad/对面大肉没人处理)依旧出ap 四五个大件死活不掏大法穿 残疫爱好者 选个软辅出卢登 以为能c不做冰杖重伤 喜欢玩拉克丝豹女 海克斯还喜欢选由心及物，没事出两件蓝量装搞不好再带个大天使 沟槽的wegame评分伤害低承伤低蹭局势死的少然后盗mvpsvp,balance,competence_frustration,legacy_ai,yes,legacy_ai_label_unreviewed,legacy 迁移证据
