evidence_id,sample_id,platform_source,unit_index,unit_text,surface_topic,mechanism_label,evidence_phrase,label_source,proposal_confidence,review_status,analysis_inclusion_status,legacy_evidence_id,queue_id,notes
NGA_0001_U01,NGA_0001,NGA,1,海克斯大乱斗最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢。,balance,fairness_threat,最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢,legacy_ai,medium,legacy_ai_label_unreviewed,included,1_u1,,legacy AI 标签未人工复核
NGA_0001_U02,NGA_0001,NGA,2,说真的，你选就选了，让个金，还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢。,balance,competence_frustration,还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢,legacy_ai,high,legacy_ai_label_unreviewed,included,1_u2,,legacy AI 标签未人工复核
NGA_0001_U03,NGA_0001,NGA,3,编辑：2个提醒12赞，看来红叉区这么干的人不少啊。,other_uncertain,uncertain,看来红叉区这么干的人不少啊,legacy_ai,low,legacy_ai_label_unreviewed,included,1_u3,,legacy AI 标签未人工复核
NGA_0001_U04,NGA_0001,NGA,4,我猜你一定是那种为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才。,other_uncertain,competence_frustration,为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才,legacy_ai,medium,legacy_ai_label_unreviewed,included,1_u4,,legacy AI 标签未人工复核
NGA_0002_U01,NGA_0002,NGA,1,楼主比较喜欢莉莉娅这个英雄，所以会拿来打rank，大乱斗也打到29场76%胜率，自认为玩的也还行,other_uncertain,uncertain,自认为玩的也还行,legacy_ai,low,legacy_ai_label_unreviewed,included,2_u1,,legacy AI 标签未人工复核
NGA_0002_U02,NGA_0002,NGA,2,但是海斗我拿到这个英雄基本上都是蛆虫，虽然看数据莉莉娅都60%胜率去了，没有辣油扛不住还没伤害，就算赢了也是混子,balance,competence_frustration,蛆虫，没有辣油扛不住还没伤害，就算赢了也是混子,legacy_ai,high,legacy_ai_label_unreviewed,included,2_u2,,legacy AI 标签未人工复核
NGA_0002_U03,NGA_0002,NGA,3,海克斯适配也很少有能c的局，反而拿到人马有几个适配海克斯凑合用就能c起来了,balance,competence_frustration,海克斯适配也很少有能c的局,legacy_ai,medium,legacy_ai_label_unreviewed,included,2_u3,,legacy AI 标签未人工复核
NGA_0002_U04,NGA_0002,NGA,4,想问问莉莉娅海斗到底怎么玩，出什么,other_uncertain,competence_frustration,想问问莉莉娅海斗到底怎么玩，出什么,legacy_ai,high,legacy_ai_label_unreviewed,included,2_u4,,legacy AI 标签未人工复核
NGA_0002_U05,NGA_0002,NGA,5,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,other_uncertain,uncertain,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,legacy_ai,low,legacy_ai_label_unreviewed,included,2_u5,,legacy AI 标签未人工复核
NGA_0003_U01,NGA_0003,NGA,1,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。,other_uncertain,competence_frustration,一眼玩丢子玩的,legacy_ai,medium,legacy_ai_label_unreviewed,included,3_u1,,legacy AI 标签未人工复核
NGA_0003_U02,NGA_0003,NGA,2,阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。,balance,competence_frustration,你拿个唯一能出物理伤害的然后进去出ap还没问题,legacy_ai,high,legacy_ai_label_unreviewed,included,3_u2,,legacy AI 标签未人工复核
NGA_0003_U03,NGA_0003,NGA,3,你真觉得五丢比没前排好赢？,other_uncertain,competence_frustration,你真觉得五丢比没前排好赢？,legacy_ai,medium,legacy_ai_label_unreviewed,included,3_u3,,legacy AI 标签未人工复核
NGA_0003_U04,NGA_0003,NGA,4,米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。,balance,competence_frustration,你还不如去玩ap卢锡安,legacy_ai,medium,legacy_ai_label_unreviewed,included,3_u4,,legacy AI 标签未人工复核
NGA_0003_U05,NGA_0003,NGA,5,出辅助装在那混着，还有人会点你？输了也是不粘锅。,other_uncertain,fairness_threat,出辅助装在那混着,legacy_ai,medium,legacy_ai_label_unreviewed,included,3_u5,,legacy AI 标签未人工复核
NGA_0003_U06,NGA_0003,NGA,6,非得当畜打起来少个人，q中伤害就那么点，q不中就ob。,balance,competence_frustration,q中伤害就那么点，q不中就ob,legacy_ai,high,legacy_ai_label_unreviewed,included,3_u6,,legacy AI 标签未人工复核
