id,source_type,date,channel,raw_text,url,segment_guess,platform_source,window_tag,theme_bucket,thread_or_video_title,reply_type
1,Bili,,Bili_w1,他把坦克海克斯加强了别的更厉害了，星届躯体1500生命值只掉10%输出缺可以增加大量存活时间和输出时间，叠角龙羁绊里的缩小引擎无限循环往复这些属于白搭谁都能用，人均都能挂个叠角龙，坦克只有飞身踢，随到了就是爽局，随不到折磨一整把，除非阵容克制,https://www.bilibili.com/video/BV1iRQ2BXEn2,balance_mechanic,Bili,w1,balance_mechanic,设计师最破防的一集，疯狂加强海斗坦克，整体胜率却越来越低！,recent_reply
2,Bili,,Bili_w1,up主感觉有点抽象啊，后续的叠角龙刷出来用不到不拿就行了，就污染卡池多大点事，整一局下来也不见有多少人能有羁绊的，卡池就是长这样，不污染能有几个好东西。再说羁绊也能加强升级狂妄效果，我的理解是只要这英雄适合开局出狂妄的，开局来必拿，但是本人也很反感有些人选个adc开局没亮剑硬出狂妄的（男枪除外）。一开始海斗出的时候，还没羁绊，我也没仔细看，一直以为神级狂妄是陷阱，后面才发现加移速！！！我才意识到这是神中神，很多刺客英雄多点移速手感都不一样了。,https://www.bilibili.com/video/BV1H5P9z7EMw,balance_mechanic,Bili,w1,balance_mechanic,为什么说升级狂妄是陷阱,recent_reply
3,Bili,,Bili_w1,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,https://www.bilibili.com/video/BV1iRQ2BXEn2,balance_mechanic,Bili,w1,balance_mechanic,设计师最破防的一集，疯狂加强海斗坦克，整体胜率却越来越低！,recent_reply
4,Bili,,Bili_w1,我建议是：远程英雄从海克斯获取的移速和全能吸血都减半，所有叠层类海克斯远程阵亡时掉落更多层数，比如近战-65%远程-80%,https://www.bilibili.com/video/BV1iRQ2BXEn2,balance_mechanic,Bili,w1,balance_mechanic,设计师最破防的一集，疯狂加强海斗坦克，整体胜率却越来越低！,recent_reply
5,Bili,,Bili_w2,之前有一把，我跟朋友双排，匹配队友是三排，我朋友肉我女枪，前期我顺风打的对面还不了手，三排开始疯狂浪，各种冲塔送，追到人家门牙送，技能打团不交留着各种k残血头，最后对面海克斯也糊了，我们被暴打，这三个崽种想投降了，我跟我朋友就是反对，几次之后他们三个直接全退，最后全体打字我朋友跟对面互刚，对面不打我我清兵线，一直打了一个多小时，中途三排以为输了，重连了好几次，最后对面爽完了让我推了赢了，没别的，就想制裁一下这种浪13队友,https://www.bilibili.com/video/BV1qjcMzqEcV,team_interaction,Bili,w2,team_interaction,千万不要单排海克斯！！！！！！,recent_reply
6,Bili,,Bili_w2,单排匹配了一堆牛马队友，选的都是最low的英雄，打着打着就打不过了，4分钟没2塔，满血见到残血就去换，不一会人头差距就翻倍，哪怕前期玩的很顺，推爆对面，也舍不得推塔，我们这边一个adc没有，过去送了几波对面adc经济直接起飞，一下子又推回来，然后队友一个一个去送。,https://www.bilibili.com/video/BV1qjcMzqEcV,team_interaction,Bili,w2,team_interaction,千万不要单排海克斯！！！！！！,recent_reply
7,Bili,,Bili_w2,确实，千万别一个人玩LOL，昨晚一把队友四个adc被人叼起来锤，然后开始发信号标记我装备，说我躲在后面干嘛，问题是，我是星妈啊！我要是一个人冲上去全解决了还要他们干嘛！说我不选前排要玩个屁用没有的星妈！奈何我满嘴的国粹打字打不出来，气得我直接下了去玩单机游戏了，后来两个朋友上号了才一起打了三四把，可以随便互相嘴臭，心情好多了。,https://www.bilibili.com/video/BV1qjcMzqEcV,team_interaction,Bili,w2,team_interaction,千万不要单排海克斯！！！！！！,recent_reply
8,Bili,,Bili_w1,狂妄就是大乱斗刺客的底层代码，而移速更是刺客很重要的一个属性我不知道有什么理由不选升级狂妄，而且还给钱出门多一个散件,https://www.bilibili.com/video/BV1H5P9z7EMw,balance_mechanic,Bili,w1,balance_mechanic,为什么说升级狂妄是陷阱,recent_reply
9,Bili,,Bili_w1,海都回血吸血手段太多了，玩ad必出绿穿，玩战士刺客也照样出绿穿，因为有时候队友即使出了重伤也不一定有机会挂上,https://www.bilibili.com/video/BV1GMX5BfE8M,balance_mechanic,Bili,w1,balance_mechanic,海克斯乱斗心理学之为什么你的队友不出重伤,recent_reply
10,Bili,,Bili_w1,我认为法师的鬼书性价比是几个重伤里面最低的。最超模的当属凡性。现在ADC打肉无非就是出轻语+破败，但如果对面同时有肉+强回复，还可以凡性+破败，既能克制回复，又有一定打肉能力，属性也不亏。法师的装备大部分就是垃圾，以前辅助的炼金科技纯化器还在的时候，如果对面有回复，我压根不出鬼书，直接出这个。,https://www.bilibili.com/video/BV1GMX5BfE8M,balance_mechanic,Bili,w1,balance_mechanic,海克斯乱斗心理学之为什么你的队友不出重伤,recent_reply
