excluded_id,source_kind,sample_id,platform_source,unit_text,exclusion_reason,recoverable,notes
BILI_0002_U01,bili_rule_based_proposal_uncertain,BILI_0002,Bili,up主感觉有点抽象啊，后续的叠角龙刷出来用不到不拿就行了，就污染卡池多大点事，整一局下来也不见有多少人能有羁绊的，卡池就是长这样，不污染能有几个好东西,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0003,bili_rule_based_proposal,BILI_0002,Bili,再说羁绊也能加强升级狂妄效果，我的理解是只要这英雄适合开局出狂妄的，开局来必拿，但是本人也很反感有些人选个adc开局没亮剑硬出狂妄的（男枪除外）,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
AP_0004,bili_rule_based_proposal,BILI_0002,Bili,一开始海斗出的时候，还没羁绊，我也没仔细看，一直以为神级狂妄是陷阱，后面才发现加移速,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0002_U02,bili_rule_based_proposal_uncertain,BILI_0002,Bili,我才意识到这是神中神，很多刺客英雄多点移速手感都不一样了,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0005_U01,bili_rule_based_proposal_uncertain,BILI_0005,Bili,之前有一把，我跟朋友双排，匹配队友是三排，我朋友肉我女枪，前期我顺风打的对面还不了手，三排开始疯狂浪，各种冲塔送，追到人家门牙送，技能打团不交留着各种k残血头，最后对面海克斯也糊了，我们被暴打，这三个崽种想投降了，我跟我朋友就是反对，几次之后他们三个直接全退，最后全体打字我朋友跟对面互刚，对面不打我我清兵线，一直打了一个多小时，中途三排以为输了，重连了好几次，最后对面爽完了让我推了赢了，没别的，就想制裁一下这种浪13队友,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0010,bili_rule_based_proposal,BILI_0007,Bili,确实，千万别一个人玩LOL，昨晚一把队友四个adc被人叼起来锤，然后开始发信号标记我装备，说我躲在后面干嘛，问题是，我是星妈啊,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0007_U01,bili_rule_based_proposal_uncertain,BILI_0007,Bili,我要是一个人冲上去全解决了还要他们干嘛,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0007_U02,bili_rule_based_proposal_uncertain,BILI_0007,Bili,说我不选前排要玩个屁用没有的星妈,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0008_U01,bili_rule_based_proposal_uncertain,BILI_0008,Bili,狂妄就是大乱斗刺客的底层代码，而移速更是刺客很重要的一个属性我不知道有什么理由不选升级狂妄，而且还给钱出门多一个散件,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0010_U02,bili_rule_based_proposal_uncertain,BILI_0010,Bili,最超模的当属凡性,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0022,bili_rule_based_proposal,BILI_0012,Bili,一开始我也不信邪，认为ap女枪是邪教，先后试过了暴击攻速流，上去点两枪，人快被aoe干死了，又试了穿甲大招流，大招被打断就有点查无此人了，要么开大原地等着被人切,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
AP_0023,bili_rule_based_proposal,BILI_0012,Bili,最后，还得是ap女枪，把对面丢残血了，队友就嗷嗷冲上去了,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
AP_0025,bili_rule_based_proposal,BILI_0013,Bili,反甲，属性和价格还算不错,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0013_U04,bili_rule_based_proposal_uncertain,BILI_0013,Bili,这不恶心人吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0013_U05,bili_rule_based_proposal_uncertain,BILI_0013,Bili,鬼书，看一次想骂一次的装备,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0013_U07,bili_rule_based_proposal_uncertain,BILI_0013,Bili,但鬼书2850的价格不算低了，结果要法强没法强，要cd没cd，本身也不提供蓝量,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0033,bili_rule_based_proposal,BILI_0013,Bili,链锯剑，价格属性中规中矩,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
AP_0035,bili_rule_based_proposal,BILI_0013,Bili,出是能出，但也是捏着鼻子的出,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
AP_0036,bili_rule_based_proposal,BILI_0013,Bili,矛盾最尖锐的绿穿和红穿,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0013_U10,bili_rule_based_proposal_uncertain,BILI_0013,Bili,是，暴击adc几乎都该出绿穿而不是红穿,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0038,bili_rule_based_proposal,BILI_0013,Bili,红穿存在的意义在哪,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,无明确机制指向且依赖上下文，暂不作为独立证据
BILI_0013_U14,bili_rule_based_proposal_uncertain,BILI_0013,Bili,最后，凭什么重伤装备就这4件,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0013_U15,bili_rule_based_proposal_uncertain,BILI_0013,Bili,你设计师不是喜欢搞镜像产物吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
AP_0045,bili_rule_based_proposal,BILI_0013,Bili,恶心坦克玩家吗,规则基线提案 include_as_evidence=no（过短/上下文依赖/无机制指向）,yes,过短且无明确机制指向，视为语气/连接片段
BILI_0013_U17,bili_rule_based_proposal_uncertain,BILI_0013,Bili,为什么没有带穿甲的重伤装备,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0013_U18,bili_rule_based_proposal_uncertain,BILI_0013,Bili,逼刺客玩家去选择链锯剑，恶心刺客玩家吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0013_U20,bili_rule_based_proposal_uncertain,BILI_0013,Bili,绿穿红穿都能设计两件，给攻速流英雄设计一件很难吗,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
BILI_0014_U02,bili_rule_based_proposal_uncertain,BILI_0014,Bili,我见过太多自以为自己很c的后排玩家，把把抱着个红穿不撒手，被对面战士刺客大爹两刀剁死然后无能狂怒,规则基线提案 include_as_evidence=uncertain（默认不计入正式分析分子，单独标记）,yes,保留在 provisional 但 analysis_inclusion_status=included_flagged_uncertain
