evidence_id,sample_id,unit_index,legacy_evidence_id,legacy_parent_id,resolved_legacy_clean_id,unit_text,surface_topic_legacy,mechanism_label_legacy,confidence_legacy,evidence_phrase,migration_method,review_status,review_note
NGA_0001_U01,NGA_0001,1,1_u1,1,121,海克斯大乱斗最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢。,balance,fairness_threat,medium,最弱智的就是为了叠什么然后选个钢化你心，然后你妈的为了钢化你心又出个心之钢,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0001_U02,NGA_0001,2,1_u2,1,121,说真的，你选就选了，让个金，还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢。,balance,competence_frustration,high,还要让3000的经济去出个八成打完一整把都不一定能做完任务的心之钢,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0001_U03,NGA_0001,3,1_u3,1,121,编辑：2个提醒12赞，看来红叉区这么干的人不少啊。,other_uncertain,uncertain,low,看来红叉区这么干的人不少啊,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0001_U04,NGA_0001,4,1_u4,1,121,我猜你一定是那种为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才。,other_uncertain,competence_frustration,medium,为了凑叠角龙羁绊，战士法师选个踢踏舞的小天才,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0002_U01,NGA_0002,1,2_u1,2,122,楼主比较喜欢莉莉娅这个英雄，所以会拿来打rank，大乱斗也打到29场76%胜率，自认为玩的也还行,other_uncertain,uncertain,low,自认为玩的也还行,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0002_U02,NGA_0002,2,2_u2,2,122,但是海斗我拿到这个英雄基本上都是蛆虫，虽然看数据莉莉娅都60%胜率去了，没有辣油扛不住还没伤害，就算赢了也是混子,balance,competence_frustration,high,蛆虫，没有辣油扛不住还没伤害，就算赢了也是混子,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0002_U03,NGA_0002,3,2_u3,2,122,海克斯适配也很少有能c的局，反而拿到人马有几个适配海克斯凑合用就能c起来了,balance,competence_frustration,medium,海克斯适配也很少有能c的局,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0002_U04,NGA_0002,4,2_u4,2,122,想问问莉莉娅海斗到底怎么玩，出什么,other_uncertain,competence_frustration,high,想问问莉莉娅海斗到底怎么玩，出什么,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0002_U05,NGA_0002,5,2_u5,2,122,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,other_uncertain,uncertain,low,我自己是火炬面具峡谷法穿棒补金身帽子女妖，不出鞋子冰杖这些,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U01,NGA_0003,1,3_u1,3,123,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。,other_uncertain,competence_frustration,medium,一眼玩丢子玩的,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U02,NGA_0003,2,3_u2,3,123,阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。,balance,competence_frustration,high,你拿个唯一能出物理伤害的然后进去出ap还没问题,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U03,NGA_0003,3,3_u3,3,123,你真觉得五丢比没前排好赢？,other_uncertain,competence_frustration,medium,你真觉得五丢比没前排好赢？,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U04,NGA_0003,4,3_u4,3,123,米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。,balance,competence_frustration,medium,你还不如去玩ap卢锡安,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U05,NGA_0003,5,3_u5,3,123,出辅助装在那混着，还有人会点你？输了也是不粘锅。,other_uncertain,fairness_threat,medium,出辅助装在那混着,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U06,NGA_0003,6,3_u6,3,123,非得当畜打起来少个人，q中伤害就那么点，q不中就ob。,balance,competence_frustration,high,q中伤害就那么点，q不中就ob,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U07,NGA_0003,7,3_u7,3,123,说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。,other_uncertain,competence_frustration,medium,决定不了胜负的,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U08,NGA_0003,8,3_u8,3,123,还有转型的，真闹麻了。,other_uncertain,uncertain,low,还有转型的，真闹麻了。,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U09,NGA_0003,9,3_u9,3,123,一般对局也就四五件就结束了，还三件套转型。,other_uncertain,uncertain,low,一般对局也就四五件就结束了，还三件套转型。,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U10,NGA_0003,10,3_u10,3,123,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,other_uncertain,uncertain,low,你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0003_U11,NGA_0003,11,3_u11,3,123,出了法穿还能不能出大穿我也不知道，这问题太小众了。,other_uncertain,uncertain,low,这问题太小众了,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0004_U01,NGA_0004,1,4_u1,4,124,丢子就是学走位，练预判，找破绽，抓失误，需要考虑技能是清兵还是打人。,other_uncertain,competence_frustration,medium,需要考虑技能是清兵还是打人,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0004_U02,NGA_0004,2,4_u2,4,124,玩前排只管向前冲粘着后排抗伤害搅混水，稍微有点含金量的就是雪球命中，相比之下谁更无脑？,balance,competence_frustration,medium,稍微有点含金量的就是雪球命中，相比之下谁更无脑？,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
NGA_0004_U03,NGA_0004,3,4_u3,4,124,我不否认前排的作用，但你说丢子无聊我只能说你不会玩丢子，你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,other_uncertain,competence_frustration,high,你玩的丢子就只管CD好了就扔，打没打到人都无所谓，那确实很无聊。,unique_normalized_substring_match,legacy_ai_label_unreviewed,legacy AI 标签，尚未人工复核；confidence 为模型置信度而非证据强度
